created_at,wind_speed_ref,wind_speed,power_raw_W,power_curve_W,power_ac_W,rho,rotor_diameter_m,rated_power_W
2025-01-01 00:00:00+06:00,2.1456488734780508,2.687908332248515,656.2933647970228,0.0,0.0,1.2124358576774432,13.0,50000.0
2025-01-01 01:00:00+06:00,3.200228415637835,4.009006659858503,2177.534206320989,1864.389289435457,1771.169824963684,1.2124358576774432,13.0,50000.0
2025-01-01 02:00:00+06:00,7.383137987244144,9.249042729850494,26738.990712137977,22893.733540126792,21749.046863120453,1.2124358576774432,13.0,50000.0
2025-01-01 03:00:00+06:00,4.708410728993552,5.898344592419417,6934.977822902631,5937.678654121751,5640.794721415663,1.2124358576774432,13.0,50000.0
2025-01-01 04:00:00+06:00,3.7476076385846224,4.69472238550444,3496.9095657842277,2994.029081907087,2844.3276278117323,1.2124358576774432,13.0,50000.0
2025-01-01 05:00:00+06:00,4.385661803341201,5.494028892302566,5604.37864762903,4798.429110435792,4558.507654914002,1.2124358576774432,13.0,50000.0
2025-01-01 06:00:00+06:00,4.679511445903231,5.862141733333454,6808.0634756412,5829.015493275392,5537.564718611622,1.2124358576774432,13.0,50000.0
2025-01-01 07:00:00+06:00,2.925967381693237,3.6654329617278254,1664.295717646015,1424.9581482694423,1353.7102408559701,1.2124358576774432,13.0,50000.0
2025-01-01 08:00:00+06:00,4.355558296293995,5.456317471565339,5489.762385786276,4700.295482796576,4465.280708656747,1.2124358576774432,13.0,50000.0
2025-01-01 09:00:00+06:00,4.624572613920353,5.793318476147198,6571.081651349483,5626.113341971496,5344.807674872921,1.2124358576774432,13.0,50000.0
2025-01-01 10:00:00+06:00,2.695053183734942,3.3761609357227123,1300.5410788130503,0.0,0.0,1.2124358576774432,13.0,50000.0
2025-01-01 11:00:00+06:00,5.131739443465085,6.428659124761153,8978.749338256626,7687.541279571398,7303.164215592828,1.2124358576774432,13.0,50000.0
2025-01-01 12:00:00+06:00,4.556125674153909,5.7075732724518184,6283.608803947324,5379.981136036774,5110.982079234935,1.2124358576774432,13.0,50000.0
2025-01-01 13:00:00+06:00,2.617373660031684,3.27884984182102,1191.2947760269637,0.0,0.0,1.2124358576774432,13.0,50000.0
2025-01-01 14:00:00+06:00,4.416782314559123,5.53301433975413,5724.532694667069,4901.304150345509,4656.238942828233,1.2124358576774432,13.0,50000.0
2025-01-01 15:00:00+06:00,3.7762448968694455,4.730596999523534,3577.688366605869,3063.1913162490937,2910.031750436639,1.2124358576774432,13.0,50000.0
